feature,reference_year,official_item_name_raw,source_dataset,raw_or_derived,temporal_safe,semantic_status
C210835,2021,事業所数（民営）（鉱業、採石業、砂利採取業）,SSDSE-A-2026,raw,False,pass
C210836,2021,事業所数（民営）（建設業）,SSDSE-A-2026,raw,False,pass
C210837,2021,事業所数（民営）（製造業）,SSDSE-A-2026,raw,False,pass
C210838,2021,事業所数（民営）（電気・ガス・熱供給・水道業）,SSDSE-A-2026,raw,False,pass
C210839,2021,事業所数（民営）（情報通信業）,SSDSE-A-2026,raw,False,pass
C210840,2021,事業所数（民営）（運輸業、郵便業）,SSDSE-A-2026,raw,False,pass
C210841,2021,事業所数（民営）（卸売業、小売業）,SSDSE-A-2026,raw,False,pass
C210844,2021,事業所数（民営）（金融業、保険業）,SSDSE-A-2026,raw,False,pass
C210845,2021,事業所数（民営）（不動産業、物品賃貸業）,SSDSE-A-2026,raw,False,pass
C210846,2021,事業所数（民営）（学術研究、専門・技術サービス業）,SSDSE-A-2026,raw,False,pass
C210847,2021,事業所数（民営）（宿泊業、飲食サービス業）,SSDSE-A-2026,raw,False,pass
C210848,2021,事業所数（民営）（生活関連サービス業、娯楽業）,SSDSE-A-2026,raw,False,pass
C210849,2021,事業所数（民営）（教育、学習支援業）,SSDSE-A-2026,raw,False,pass
C210850,2021,事業所数（民営）（医療、福祉）,SSDSE-A-2026,raw,False,pass
C210851,2021,事業所数（民営）（複合サービス事業）,SSDSE-A-2026,raw,False,pass
C210852,2021,事業所数（民営）（サービス業（他に分類されないもの））,SSDSE-A-2026,raw,False,pass
C2208,2021,従業者数（民営）,SSDSE-A-2026,raw,False,pass
C220832,2021,従業者数（民営）（農業、林業）,SSDSE-A-2026,raw,False,pass
C220833,2021,従業者数（民営）（漁業）,SSDSE-A-2026,raw,False,pass
C220835,2021,従業者数（民営）（鉱業、採石業、砂利採取業）,SSDSE-A-2026,raw,False,pass
C220836,2021,従業者数（民営）（建設業）,SSDSE-A-2026,raw,False,pass
C220837,2021,従業者数（民営）（製造業）,SSDSE-A-2026,raw,False,pass
C220838,2021,従業者数（民営）（電気・ガス・熱供給・水道業）,SSDSE-A-2026,raw,False,pass
C220839,2021,従業者数（民営）（情報通信業）,SSDSE-A-2026,raw,False,pass
C220840,2021,従業者数（民営）（運輸業、郵便業）,SSDSE-A-2026,raw,False,pass
C220841,2021,従業者数（民営）（卸売業、小売業）,SSDSE-A-2026,raw,False,pass
C220844,2021,従業者数（民営）（金融業、保険業）,SSDSE-A-2026,raw,False,pass
C220845,2021,従業者数（民営）（不動産業、物品賃貸業）,SSDSE-A-2026,raw,False,pass
C220846,2021,従業者数（民営）（学術研究、専門・技術サービス業）,SSDSE-A-2026,raw,False,pass
C220847,2021,従業者数（民営）（宿泊業、飲食サービス業）,SSDSE-A-2026,raw,False,pass
C220848,2021,従業者数（民営）（生活関連サービス業、娯楽業）,SSDSE-A-2026,raw,False,pass
C220849,2021,従業者数（民営）（教育、学習支援業）,SSDSE-A-2026,raw,False,pass
C220850,2021,従業者数（民営）（医療、福祉）,SSDSE-A-2026,raw,False,pass
C220851,2021,従業者数（民営）（複合サービス事業）,SSDSE-A-2026,raw,False,pass
C220852,2021,従業者数（民営）（サービス業（他に分類されないもの））,SSDSE-A-2026,raw,False,pass
C310201,2019,農家数（販売農家）,SSDSE-A-2026,raw,True,pass
C310202,2019,農家数（自給的農家）,SSDSE-A-2026,raw,True,pass
D1202,2024,一般行政部門職員数（市区町村）,SSDSE-A-2026,raw,False,pass
D2203,2022,経常収支比率（市町村財政）,SSDSE-A-2026,raw,False,pass
D2211,2022,実質公債費比率（市町村財政）,SSDSE-A-2026,raw,False,pass
D3201,2022,歳入決算総額（市町村財政）,SSDSE-A-2026,raw,False,pass
D320101,2022,地方税（市町村財政）,SSDSE-A-2026,raw,False,pass
D3203,2022,歳出決算総額（市町村財政）,SSDSE-A-2026,raw,False,pass
D320303,2022,民生費（市町村財政）,SSDSE-A-2026,raw,False,pass
D320308,2022,土木費（市町村財政）,SSDSE-A-2026,raw,False,pass
D320310,2022,教育費（市町村財政）,SSDSE-A-2026,raw,False,pass
D320311,2022,災害復旧費（市町村財政）,SSDSE-A-2026,raw,False,pass
E1101,2024,幼稚園数,SSDSE-A-2026,raw,False,pass
E1501,2024,幼稚園在園者数,SSDSE-A-2026,raw,False,pass
E2101,2024,小学校数,SSDSE-A-2026,raw,False,pass
E2401,2024,小学校教員数,SSDSE-A-2026,raw,False,pass
E2501,2024,小学校児童数,SSDSE-A-2026,raw,False,pass
E3101,2024,中学校数,SSDSE-A-2026,raw,False,pass
E3401,2024,中学校教員数,SSDSE-A-2026,raw,False,pass
E3501,2024,中学校生徒数,SSDSE-A-2026,raw,False,pass
E3901,2024,義務教育学校数,SSDSE-A-2026,raw,False,pass
E3904,2024,義務教育学校教員数,SSDSE-A-2026,raw,False,pass
E3905,2024,義務教育学校前期課程児童数,SSDSE-A-2026,raw,False,pass
E3906,2024,義務教育学校後期課程生徒数,SSDSE-A-2026,raw,False,pass
E4101,2024,高等学校数,SSDSE-A-2026,raw,False,pass
E4501,2024,高等学校生徒数,SSDSE-A-2026,raw,False,pass
F1102,2020,就業者数,SSDSE-A-2026,raw,True,pass
F110201,2020,就業者数（男）,SSDSE-A-2026,raw,True,pass
F110202,2020,就業者数（女）,SSDSE-A-2026,raw,True,pass
F1107,2020,完全失業者数,SSDSE-A-2026,raw,True,pass
F110701,2020,完全失業者数（男）,SSDSE-A-2026,raw,True,pass
F110702,2020,完全失業者数（女）,SSDSE-A-2026,raw,True,pass
F1108,2020,非労働力人口,SSDSE-A-2026,raw,True,pass
F110801,2020,非労働力人口（男）,SSDSE-A-2026,raw,True,pass
F110802,2020,非労働力人口（女）,SSDSE-A-2026,raw,True,pass
F2201,2020,第1次産業就業者数,SSDSE-A-2026,raw,True,pass
F2211,2020,第2次産業就業者数,SSDSE-A-2026,raw,True,pass
F2221,2020,第3次産業就業者数,SSDSE-A-2026,raw,True,pass
G1201,2021,公民館数,SSDSE-A-2026,raw,False,pass
G1401,2021,図書館数,SSDSE-A-2026,raw,False,pass
H5507,2023,総人口（非水洗化人口＋水洗化人口）,SSDSE-A-2026,raw,False,pass
H550701,2023,非水洗化人口,SSDSE-A-2026,raw,False,pass
H6130,2021,小売店数,SSDSE-A-2026,raw,False,pass
H6131,2021,飲食店数,SSDSE-A-2026,raw,False,pass
H6132,2021,大型小売店数,SSDSE-A-2026,raw,False,pass
I510120,2023,一般病院数,SSDSE-A-2026,raw,False,pass
I5102,2023,一般診療所数,SSDSE-A-2026,raw,False,pass
I5103,2023,歯科診療所数,SSDSE-A-2026,raw,False,pass
I6100,2022,医師数,SSDSE-A-2026,raw,False,pass
I6200,2022,歯科医師数,SSDSE-A-2026,raw,False,pass
I6300,2022,薬剤師数,SSDSE-A-2026,raw,False,pass
J250302,2023,保育所等数（基本票）,SSDSE-A-2026,raw,False,pass
