feature,feature_set,in_ssdse_core,in_expanded,source_dataset,source_table_or_dataset_id,source_item_codes,source_reference_years,max_source_reference_year,observation_year,raw_or_derived,formula,temporal_safe,outcome_related,provenance_complete,provenance_status,notes
F1108,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F1108,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F2201,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F2201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F2211,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F2211,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F2221,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F2221,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
log_population,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,log1p(A1101),True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
aging_share_65plus,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A1303 / A1101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
share_75plus,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A1419 / A1101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
youth_share_0_14,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A1301 / A1101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
working_age_share_15_64,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A1302 / A1101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
foreign_population_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A1700 / A1101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
single_household_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A810105 / A710101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
elderly_single_household_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,A8301 / A710101; denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
unemployment_rate,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,F1107 / (F1102 + F1107); denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
non_labor_force_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,F1108 / (F1102 + F1107 + F1108); denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
primary_industry_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,F2201 / (F2201 + F2211 + F2221); denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
secondary_industry_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,F2211 / (F2201 + F2211 + F2221); denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
tertiary_industry_share,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026 derived,SSDSE-A-2026 item lineage,,2020,2020,2020,derived,F2221 / (F2201 + F2211 + F2221); denominator > 0,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A141902,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A141902,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130301,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130301,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A710201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A710201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110202,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110202,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110801,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110801,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A141901,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A141901,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130101,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
C310202,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,C310202,2019,2019,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A8201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A8201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A110202,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A110202,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110702,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110702,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1102,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A1102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A110101,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A110101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110701,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110701,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130202,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130202,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
C310201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,C310201,2019,2019,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110802,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110802,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A110102,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A110102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A110201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A110201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130102,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A130302,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A130302,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F110201,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,F110201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A810102,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A810102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A811102,SSDSE-A + e-Stat SSDS Expanded,False,True,SSDSE-A-2026,SSDSE-A-2026,A811102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1401,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020201,A1401,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1402,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020201,A1402,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
B1104,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020202,B1104,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
C120110,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020203,C120110,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
C120120,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020203,C120120,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
D2201,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020204,D2201,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
D2202,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020204,D2202,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
E9106,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020205,E9106,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1101,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020206,F1101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1301,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020206,F1301,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1307,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020206,F1307,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1311,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020206,F1311,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
I5101,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020209,I5101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
I5211,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data (saved raw response),0000020209,I5211,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
population_density,SSDSE-A + e-Stat SSDS Expanded,False,True,e-Stat SSDS municipal data,e-Stat SSDS saved raw A1101/B1101,A1101;B1101,2020,2020,2020,derived,A1101 / B1101,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
