feature,label_en,official_item_name_raw,source_stat,stat_table_id,item_code,unit,observation_years,raw_or_derived,transformation_or_definition,analysis_role,missing_rate_panel,retrieval_recorded_at,metadata_note,label_safe,source_dataset,ssdse_version,ssdse_item_code,reference_year,formula,temporal_safe,source_url
A1302,Official e-Stat municipal indicator A1302,15～64歳人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,A1302,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,15～64歳人口,SSDSE-A-2026,2026,A1302,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1303,Official e-Stat municipal indicator A1303,65歳以上人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,A1303,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,65歳以上人口,SSDSE-A-2026,2026,A1303,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1401,Official e-Stat municipal indicator A1401,A1401_3歳人口,e-Stat SSDS municipal data,0000020201,A1401,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,A1401_3歳人口,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
A1402,Official e-Stat municipal indicator A1402,A1402_4歳人口,e-Stat SSDS municipal data,0000020201,A1402,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,A1402_4歳人口,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
B1101,Official e-Stat municipal indicator B1101,総面積（北方地域及び竹島を除く）,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,B1101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,総面積（北方地域及び竹島を除く）,SSDSE-A-2026,2026,B1101,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
B1103,Official e-Stat municipal indicator B1103,可住地面積,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,B1103,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.010419522895530574,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,可住地面積,SSDSE-A-2026,2026,B1103,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
B1104,Official e-Stat municipal indicator B1104,B1104_主要湖沼面積,e-Stat SSDS municipal data,0000020202,B1104,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,B1104_主要湖沼面積,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
C120110,Official e-Stat municipal indicator C120110,C120110_課税対象所得,e-Stat SSDS municipal data,0000020203,C120110,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.045242665204277485,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,C120110_課税対象所得,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
C120120,Official e-Stat municipal indicator C120120,C120120_納税義務者数（所得割）,e-Stat SSDS municipal data,0000020203,C120120,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.045242665204277485,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,C120120_納税義務者数（所得割）,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
D2201,Official e-Stat municipal indicator D2201,D2201_財政力指数（市町村財政）,e-Stat SSDS municipal data,0000020204,D2201,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.05977515766383329,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,D2201_財政力指数（市町村財政）,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
D2202,Official e-Stat municipal indicator D2202,D2202_実質収支比率（市町村財政）,e-Stat SSDS municipal data,0000020204,D2202,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.05977515766383329,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,D2202_実質収支比率（市町村財政）,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
D2203,Official e-Stat municipal indicator D2203,経常収支比率（市町村財政）,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,D2203,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.04661365505895256,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,経常収支比率（市町村財政）,SSDSE-A-2026,2026,D2203,2022,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D2211,Official e-Stat municipal indicator D2211,実質公債費比率（市町村財政）,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,D2211,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.04688785302988758,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,実質公債費比率（市町村財政）,SSDSE-A-2026,2026,D2211,2022,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D3201,Official e-Stat municipal indicator D3201,歳入決算総額（市町村財政）,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,D3201,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.044968467233342475,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,歳入決算総額（市町村財政）,SSDSE-A-2026,2026,D3201,2022,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D320101,Official e-Stat municipal indicator D320101,地方税（市町村財政）,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,D320101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.044968467233342475,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,地方税（市町村財政）,SSDSE-A-2026,2026,D320101,2022,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E2101,Official e-Stat municipal indicator E2101,小学校数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E2101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,小学校数,SSDSE-A-2026,2026,E2101,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E2501,Official e-Stat municipal indicator E2501,小学校児童数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E2501,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,小学校児童数,SSDSE-A-2026,2026,E2501,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3101,Official e-Stat municipal indicator E3101,中学校数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E3101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,中学校数,SSDSE-A-2026,2026,E3101,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3501,Official e-Stat municipal indicator E3501,中学校生徒数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E3501,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,中学校生徒数,SSDSE-A-2026,2026,E3501,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E4101,Official e-Stat municipal indicator E4101,高等学校数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E4101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,高等学校数,SSDSE-A-2026,2026,E4101,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E4501,Official e-Stat municipal indicator E4501,高等学校生徒数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,E4501,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,高等学校生徒数,SSDSE-A-2026,2026,E4501,2024,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E9106,Official e-Stat municipal indicator E9106,E9106_最終学歴人口（大学・大学院）,e-Stat SSDS municipal data,0000020205,E9106,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,E9106_最終学歴人口（大学・大学院）,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
F1101,Official e-Stat municipal indicator F1101,F1101_労働力人口,e-Stat SSDS municipal data,0000020206,F1101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,F1101_労働力人口,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
F1102,Official e-Stat municipal indicator F1102,就業者数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,F1102,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,就業者数,SSDSE-A-2026,2026,F1102,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1107,Official e-Stat municipal indicator F1107,完全失業者数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,F1107,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,完全失業者数,SSDSE-A-2026,2026,F1107,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1108,Official e-Stat municipal indicator F1108,非労働力人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,F1108,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,非労働力人口,SSDSE-A-2026,2026,F1108,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1301,Official e-Stat municipal indicator F1301,F1301_農林漁業者,e-Stat SSDS municipal data,0000020206,F1301,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,F1301_農林漁業者,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
F1307,Official e-Stat municipal indicator F1307,F1307_専門職業者,e-Stat SSDS municipal data,0000020206,F1307,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,F1307_専門職業者,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
F1311,Official e-Stat municipal indicator F1311,F1311_管理職,e-Stat SSDS municipal data,0000020206,F1311,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,F1311_管理職,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
I5101,Official e-Stat municipal indicator I5101,I5101_病院数,e-Stat SSDS municipal data,0000020209,I5101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,I5101_病院数,e-Stat SSDS municipal data,,,,No panel transformation; model-time imputation/scaling is fit inside folds.,,
I5102,Official e-Stat municipal indicator I5102,一般診療所数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,I5102,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,一般診療所数,SSDSE-A-2026,2026,I5102,2023,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I5103,Official e-Stat municipal indicator I5103,歯科診療所数,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,I5103,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,歯科診療所数,SSDSE-A-2026,2026,I5103,2023,No panel transformation; model-time imputation/scaling is fit inside folds.,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
